ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
"rolled_oats","Oats that have been steamed and flattened into flakes.","Used in porridge, granola, and baking.","A classic breakfast ingredient around the world.","safe","Naturally gluten-free, but may contain gluten unless certified gluten-free.","safe","Safe for dogs and often used in dog foods.","safe","Safe for cats in small amounts.","EU food labels"
"oat_flakes","Flattened oat grains commonly used in everyday foods.","Used in cereals, baking, and snack bars.","Many people start their day with oat flakes for breakfast.","safe","Naturally gluten-free, but may contain gluten unless certified gluten-free.","safe","Safe for dogs and easy to digest.","safe","Safe for cats in small amounts.","EU food labels"
"corn_grits","Coarsely ground corn used in traditional dishes.","Used in porridges and hearty meals for texture and flavor.","A staple in many traditional European and Southern cuisines.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"breadcrumbs","Dried and ground bread used in cooking.","Used for coating, binding, or adding crunch to foods.","Often used to make crispy fried dishes.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"starch","A natural carbohydrate found in many plants.","Used to thicken sauces, soups, and desserts.","Starch is one of the main energy sources in everyday foods.","safe","Generally safe and widely used in foods.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"wheat_starch","A starch extracted from wheat.","Used to improve texture in baked and processed foods.","Often used in soft breads and bakery products.","caution","Contains gluten, which may not be suitable for people with gluten intolerance or celiac disease.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"corn_starch","A fine powder made from corn.","Used to thicken sauces, soups, and desserts.","A classic kitchen ingredient for smooth sauces.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"maize_starch","Another name for corn starch.","Used in cooking to thicken and improve texture.","Common in both home cooking and processed foods.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"potato_starch","A starch extracted from potatoes.","Used to thicken soups, sauces, and baked goods.","Popular in many European recipes.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"rice_starch","A starch made from rice grains.","Used in gluten-free foods and delicate recipes.","Often used in baby foods for its mild nature.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"tapioca_starch","A starch extracted from cassava root.","Used to thicken desserts and give a chewy texture.","It’s what makes bubble tea pearls soft and chewy.","safe","Generally safe and naturally gluten-free.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"modified_starch","A starch that has been processed to work better in food.","Used to stabilize texture and extend shelf life.","Often found in processed foods for consistency.","caution","Generally safe, but more processed and sometimes questioned by consumers.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"modified_maize_starch","A processed version of corn starch designed to work better in food.","Used to keep sauces smooth and products stable.","Helps foods keep their texture even after heating or freezing.","caution","Generally safe, but more processed and sometimes questioned by consumers.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"modified_potato_starch","A modified starch made from potatoes.","Used to improve texture and prevent sauces from separating.","Common in ready meals and processed foods.","caution","Generally safe, but indicates a higher level of processing.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"modified_tapioca_starch","A processed starch from cassava root.","Used to stabilize texture in desserts and sauces.","Often used to create smooth and consistent textures.","caution","Generally safe, but more processed than natural starch.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"sunflower_oil","An oil extracted from sunflower seeds.","Used for frying, cooking, and in many packaged foods.","Sunflowers naturally turn to follow the sun during the day.","safe","Generally safe when used in moderation.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"high_oleic_sunflower_oil","A type of sunflower oil with more stable fats.","Used for frying and in snacks due to better heat resistance.","Often chosen by food brands for longer shelf life.","safe","Generally safe and more stable at high temperatures.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"rapeseed_oil","A widely used plant oil made from rapeseed.","Used in cooking and many processed foods.","One of the most common cooking oils in Europe.","safe","Generally safe and considered a balanced cooking oil.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"canola_oil","A refined oil made from a special type of rapeseed.","Used in cooking and packaged foods.","The name comes from 'Canadian oil'.","safe","Generally safe and widely used in everyday cooking.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"olive_oil","Oil pressed from olives.","Used in cooking, salads, and sauces.","A key part of the Mediterranean diet.","safe","Generally safe and often seen as a healthy fat when used in moderation.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"extra_virgin_olive_oil","A high-quality olive oil made without heat or heavy processing.","Used in salads, dips, and light cooking.","Known for its rich taste and premium quality.","safe","Generally safe and valued for its natural antioxidants.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"pomace_olive_oil","Oil extracted from leftover olive pulp after pressing.","Used in frying and processed foods.","More processed than extra virgin olive oil.","caution","Generally safe, but more refined and lower in nutrients than higher-quality olive oils.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts.","EU food labels"
"coconut_oil","An oil made from the flesh of coconuts.","Used in cooking, baking, and some processed foods.","Very popular in tropical cuisines and health trends.","caution","High in saturated fat, so best used in moderation.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts."
"palm_oil","An oil extracted from the fruit of oil palm trees.","Used widely in processed foods for texture and shelf life.","Often debated due to environmental and sustainability concerns.","limit","Safe to eat, but best to limit due to high saturated fat and controversies.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts."
"palm_fat","A solid fat made from palm oil.","Used in baked goods like biscuits and pastries.","Very common in processed snacks.","limit","Safe to eat, but best to limit due to high saturated fat and sustainability concerns.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts."
"shea_butter","A fat extracted from nuts of the shea tree.","Used occasionally in chocolate and confectionery.","Better known as a popular skincare ingredient.","safe","Generally safe in food when used in small amounts.","safe","Safe for dogs in small amounts.","safe","Safe for cats in small amounts."
